unemp,sippst,year,mth
8.6999998,10,1996,6
8.6999998,10,1996,7
8.5,10,1996,8
8.3000002,10,1996,9
8.1000004,10,1996,10
7.9000001,10,1996,11
7.9000001,10,1996,12
7.5,10,1997,1
7.4000001,10,1997,2
7.5,10,1997,3
7.5,10,1997,4
7.5,10,1997,5
7.5999999,10,1997,6
7.8000002,10,1997,7
8,10,1997,8
8.3000002,10,1997,9
8.5,10,1997,10
8.5,10,1997,11
8.8000002,10,1997,12
9.1000004,10,1998,1
9.3999996,10,1998,2
9.3999996,10,1998,3
9.1999998,10,1998,4
9.1000004,10,1998,5
9.1999998,10,1998,6
9.1000004,10,1998,7
8.8999996,10,1998,8
8.6999998,10,1998,9
8.5,10,1998,10
8.1000004,10,1998,11
7.5,10,1998,12
7.3000002,10,1999,1
7.0999999,10,1999,2
6.8000002,10,1999,3
6.5999999,10,1999,4
6.5,10,1999,5
6.1999998,10,1999,6
6,10,1999,7
5.9000001,10,1999,8
5.8000002,10,1999,9
5.5999999,10,1999,10
5.6999998,10,1999,11
5.6999998,10,1999,12
5.6999998,10,2000,1
5.5999999,10,2000,2
5.5999999,10,2000,3
5.5999999,10,2000,4
5.5999999,10,2000,5
5.3000002,10,2000,6
5.5999999,10,2000,7
5.6999998,10,2000,8
6,10,2000,9
6.0999999,10,2000,10
6.0999999,10,2000,11
6.3000002,10,2000,12
6.4000001,10,2001,1
6.4000001,10,2001,2
6.4000001,10,2001,3
6.1999998,10,2001,4
6.5,10,2001,5
6.6999998,10,2001,6
6.6999998,10,2001,7
6.6999998,10,2001,8
6.5999999,10,2001,9
6.5999999,10,2001,10
6.8000002,10,2001,11
6.4000001,10,2001,12
6.6999998,10,2002,1
7,10,2002,2
6.6999998,10,2002,3
6.4000001,10,2002,4
6.5999999,10,2002,5
6.3000002,10,2002,6
6,10,2002,7
8.3000002,11,1983,1
8.3000002,11,1983,2
8.6000004,11,1983,3
8.3999996,11,1983,4
8.5,11,1983,5
8.1999998,11,1983,6
8.1000004,11,1983,7
7.9000001,11,1983,8
8,11,1983,9
7.9000001,11,1983,10
7.5,11,1983,11
7.3000002,11,1983,12
6.8000002,11,1984,1
6.4000001,11,1984,2
6.3000002,11,1984,3
6.0999999,11,1984,4
6,11,1984,5
6.3000002,11,1984,6
6.1999998,11,1984,7
6,11,1984,8
6.0999999,11,1984,9
6.0999999,11,1984,10
5.9000001,11,1984,11
5.9000001,11,1984,12
5.9000001,11,1985,1
5.9000001,11,1985,2
5.8000002,11,1985,3
5.8000002,11,1985,4
5.5999999,11,1985,5
5.4000001,11,1985,6
5.1999998,11,1985,7
5.5,11,1985,8
5,11,1985,9
4.8000002,11,1985,10
4.6999998,11,1985,11
4.6999998,11,1985,12
4.6999998,11,1986,1
4.9000001,11,1986,2
4.8000002,11,1986,3
4.9000001,11,1986,4
4.8000002,11,1986,5
4.4000001,11,1986,6
4.4000001,11,1986,7
4.0999999,11,1986,8
3.9000001,11,1986,9
3.8,11,1986,10
3.7,11,1986,11
3.5,11,1986,12
3.2,11,1987,1
3.2,11,1987,2
3.4000001,11,1987,3
3.5,11,1987,4
3.5,11,1987,5
3.3,11,1987,6
3.3,11,1987,7
3.0999999,11,1987,8
3.0999999,11,1987,9
3.2,11,1987,10
3.4000001,11,1987,11
3.4000001,11,1987,12
3.5,11,1988,1
3.2,11,1988,2
3.0999999,11,1988,3
2.9000001,11,1988,4
2.9000001,11,1988,5
3.0999999,11,1988,6
3,11,1988,7
3.3,11,1988,8
3.4000001,11,1988,9
3.0999999,11,1988,10
3.0999999,11,1988,11
3.3,11,1988,12
3.2,11,1989,1
3.3,11,1989,2
3.4000001,11,1989,3
3.4000001,11,1989,4
3.7,11,1989,5
3.9000001,11,1989,6
4.0999999,11,1989,7
3.7,11,1989,8
3.7,11,1989,9
3.7,11,1989,10
3.4000001,11,1989,11
3.5,11,1989,12
4.4000001,11,1990,1
4,11,1990,2
4.0999999,11,1990,3
4.0999999,11,1990,4
4.0999999,11,1990,5
4.0999999,11,1990,6
4.4000001,11,1990,7
4.4000001,11,1990,8
7.0999999,11,1990,9
7,11,1990,10
7.4000001,11,1990,11
7.1999998,11,1990,12
6.8000002,11,1991,1
7.3000002,11,1991,2
6.6999998,11,1991,3
7,11,1991,4
6.4000001,11,1991,5
6.1999998,11,1991,6
6,11,1991,7
6.1999998,11,1991,8
5.8000002,11,1991,9
5.5999999,11,1991,10
5.5999999,11,1991,11
5.5,11,1991,12
5.5999999,11,1992,1
5.1999998,11,1992,2
5.4000001,11,1992,3
5.5,11,1992,4
5.5999999,11,1992,5
5.5,11,1992,6
5.3000002,11,1992,7
5.3000002,11,1992,8
5.0999999,11,1992,9
5.4000001,11,1992,10
5,11,1992,11
5,11,1992,12
5,11,1993,1
5.0999999,11,1993,2
5.1999998,11,1993,3
5.1999998,11,1993,4
5.1999998,11,1993,5
5.3000002,11,1993,6
5.4000001,11,1993,7
5.5,11,1993,8
5.5999999,11,1993,9
5.5,11,1993,10
5.5,11,1993,11
5.5999999,11,1993,12
5.5,11,1994,1
5.5,11,1994,2
5.5,11,1994,3
5.1999998,11,1994,4
5.0999999,11,1994,5
4.9000001,11,1994,6
4.9000001,11,1994,7
4.5999999,11,1994,8
4.5,11,1994,9
4.4000001,11,1994,10
4.3000002,11,1994,11
4.1999998,11,1994,12
4.0999999,11,1995,1
4.0999999,11,1995,2
4.0999999,11,1995,3
4.1999998,11,1995,4
4.1999998,11,1995,5
4.5,11,1995,6
4.1999998,11,1995,7
4.1999998,11,1995,8
4.5,11,1995,9
4.5999999,11,1995,10
4.6999998,11,1995,11
4.6999998,11,1995,12
5.3000002,11,1996,1
4.9000001,11,1996,2
5.3000002,11,1996,3
5,11,1996,4
5,11,1996,5
5.0999999,11,1996,6
5.0999999,11,1996,7
5.4000001,11,1996,8
5.3000002,11,1996,9
5.1999998,11,1996,10
5.1999998,11,1996,11
5,11,1996,12
4.8000002,11,1997,1
4.5,11,1997,2
4.3000002,11,1997,3
4.1999998,11,1997,4
4.0999999,11,1997,5
4.0999999,11,1997,6
4,11,1997,7
3.9000001,11,1997,8
3.8,11,1997,9
3.5999999,11,1997,10
3.5999999,11,1997,11
3.7,11,1997,12
3.8,11,1998,1
3.9000001,11,1998,2
3.9000001,11,1998,3
3.9000001,11,1998,4
3.9000001,11,1998,5
3.9000001,11,1998,6
4.0999999,11,1998,7
3.7,11,1998,8
3.7,11,1998,9
3.7,11,1998,10
3.5999999,11,1998,11
3.4000001,11,1998,12
3.4000001,11,1999,1
3.4000001,11,1999,2
3.5,11,1999,3
3.5,11,1999,4
3.5,11,1999,5
3.5,11,1999,6
3.5,11,1999,7
3.3,11,1999,8
3.5,11,1999,9
3.5999999,11,1999,10
3.7,11,1999,11
3.7,11,1999,12
3.8,11,2000,1
3.8,11,2000,2
3.9000001,11,2000,3
4,11,2000,4
4,11,2000,5
4,11,2000,6
4.0999999,11,2000,7
4.0999999,11,2000,8
4.0999999,11,2000,9
4,11,2000,10
3.9000001,11,2000,11
4,11,2000,12
4.1999998,11,2001,1
3.9000001,11,2001,2
3.7,11,2001,3
3.5,11,2001,4
3.4000001,11,2001,5
3.4000001,11,2001,6
3.3,11,2001,7
3.3,11,2001,8
3.3,11,2001,9
3.3,11,2001,10
3.3,11,2001,11
3.4000001,11,2001,12
3.8,11,2002,1
3.5,11,2002,2
3.8,11,2002,3
4.1999998,11,2002,4
4.0999999,11,2002,5
4.1999998,11,2002,6
3.9000001,11,2002,7
9.3000002,12,1983,1
9.6999998,12,1983,2
9.6999998,12,1983,3
9.1000004,12,1983,4
9.1000004,12,1983,5
8.8999996,12,1983,6
8.8000002,12,1983,7
8.5,12,1983,8
8,12,1983,9
7.6999998,12,1983,10
7.4000001,12,1983,11
7.0999999,12,1983,12
6.9000001,12,1984,1
6.6999998,12,1984,2
6.5,12,1984,3
6.4000001,12,1984,4
6.3000002,12,1984,5
6.1999998,12,1984,6
6.1999998,12,1984,7
6.1999998,12,1984,8
6.1999998,12,1984,9
6.0999999,12,1984,10
6.0999999,12,1984,11
6.0999999,12,1984,12
6,12,1985,1
6,12,1985,2
6.0999999,12,1985,3
6.0999999,12,1985,4
6,12,1985,5
6,12,1985,6
6,12,1985,7
6,12,1985,8
6,12,1985,9
5.9000001,12,1985,10
5.9000001,12,1985,11
5.9000001,12,1985,12
5.8000002,12,1986,1
5.6999998,12,1986,2
5.8000002,12,1986,3
5.8000002,12,1986,4
5.8000002,12,1986,5
5.8000002,12,1986,6
5.6999998,12,1986,7
5.6999998,12,1986,8
5.6999998,12,1986,9
5.6999998,12,1986,10
5.6999998,12,1986,11
5.6999998,12,1986,12
5.5,12,1987,1
5.5,12,1987,2
5.5,12,1987,3
5.4000001,12,1987,4
5.4000001,12,1987,5
5.4000001,12,1987,6
5.3000002,12,1987,7
5.1999998,12,1987,8
5.1999998,12,1987,9
5.1999998,12,1987,10
5.1999998,12,1987,11
5.0999999,12,1987,12
5.0999999,12,1988,1
5,12,1988,2
4.9000001,12,1988,3
4.9000001,12,1988,4
4.8000002,12,1988,5
4.9000001,12,1988,6
4.9000001,12,1988,7
4.9000001,12,1988,8
5,12,1988,9
5.0999999,12,1988,10
5.1999998,12,1988,11
5.1999998,12,1988,12
